"Timestamp,""Reading newspapers and magazines"",""Domestic chores (cooking, washing, grocery shopping, ironing, etc.)"",""Driving (not biking)"",""Leisure activities (sports, hunting, dancing, chess, coin collecting, etc.)"",""Using new technologies (digital cameras, computer, Internet, etc.)"",""Social activities (political parties, recreational clubs, associations, etc.)"",""Cinema, theater"",""Gardening, DIY, small-scale operations such as knitting, etc."",""Looking after grandchildren/nieces/nephews or elderly parents"",""Voluntary work"",""Artistic activities (music, singing, performance, painting, writing, etc.)"",""Exhibitions, concerts, conferences"",""Journeys lasting several days"",""Reading books"",""Children"",""Pet care"",""Managing one's current account"""
"2020/08/27 7:41:10 PM GMT+2,""1"",""1"",""3"",""1"",""2"",""2"",""2"",""1"",""2"",""2"",""3"",""4"",""3"",""3"",""2"",""2"",""2"""
"2020/08/27 7:42:20 PM GMT+2,""2"",""1"",""2"",""3"",""1"",""3"",""2"",""1"",""2"",""2"",""3"",""4"",""3"",""3"",""2"",""2"",""2"""
"2020/08/27 7:44:56 PM GMT+2,""2"",""1"",""1"",""3"",""3"",""3"",""1"",""1"",""1"",""3"",""3"",""2"",""3"",""3"",""1"",""1"",""1"""
"2020/08/27 7:48:27 PM GMT+2,""2"",""2"",""4"",""2"",""3"",""2"",""3"",""2"",""4"",""4"",""3"",""3"",""4"",""3"",""3"",""2"",""3"""
"2020/08/27 7:49:30 PM GMT+2,""4"",""1"",""3"",""2"",""2"",""3"",""2"",""2"",""3"",""2"",""3"",""2"",""3"",""3"",""4"",""2"",""3"""
"2020/08/27 7:52:44 PM GMT+2,""3"",""2"",""2"",""3"",""2"",""4"",""2"",""2"",""4"",""3"",""4"",""2"",""2"",""3"",""3"",""2"",""3"""
"2020/08/27 7:58:39 PM GMT+2,""3"",""2"",""2"",""2"",""3"",""2"",""3"",""2"",""3"",""3"",""3"",""2"",""3"",""3"",""3"",""2"",""2"""
"2020/08/27 8:12:06 PM GMT+2,""1"",""3"",""1"",""3"",""1"",""4"",""1"",""2"",""4"",""3"",""3"",""3"",""2"",""2"",""4"",""2"",""3"""
"2020/08/27 8:38:56 PM GMT+2,""3"",""1"",""4"",""3"",""2"",""3"",""2"",""1"",""3"",""4"",""2"",""3"",""3"",""3"",""3"",""2"",""4"""
"2020/08/27 8:57:23 PM GMT+2,""2"",""2"",""2"",""3"",""2"",""3"",""2"",""3"",""4"",""4"",""3"",""3"",""4"",""3"",""4"",""3"",""1"""
"2020/08/27 9:35:36 PM GMT+2,""3"",""1"",""4"",""2"",""2"",""4"",""2"",""1"",""4"",""2"",""3"",""3"",""3"",""3"",""4"",""4"",""2"""
"2020/08/27 10:03:41 PM GMT+2,""2"",""1"",""3"",""2"",""2"",""1"",""1"",""3"",""3"",""2"",""1"",""3"",""3"",""3"",""3"",""2"",""2"""
"2020/08/27 10:08:18 PM GMT+2,""3"",""1"",""2"",""1"",""3"",""1"",""1"",""1"",""2"",""2"",""3"",""1"",""1"",""2"",""2"",""1"",""3"""
"2020/08/27 10:11:55 PM GMT+2,""3"",""1"",""3"",""3"",""2"",""3"",""2"",""2"",""3"",""2"",""3"",""3"",""4"",""3"",""4"",""3"",""4"""
"2020/08/27 10:15:54 PM GMT+2,""3"",""2"",""3"",""3"",""3"",""2"",""2"",""1"",""2"",""3"",""3"",""3"",""4"",""3"",""4"",""1"",""3"""
"2020/08/27 11:32:49 PM GMT+2,""1"",""1"",""1"",""2"",""2"",""4"",""1"",""1"",""3"",""2"",""3"",""4"",""2"",""1"",""3"",""2"",""2"""
"2020/08/28 2:35:12 AM GMT+2,""1"",""1"",""2"",""3"",""2"",""4"",""2"",""2"",""4"",""4"",""3"",""3"",""3"",""2"",""4"",""3"",""3"""
"2020/08/28 7:45:44 AM GMT+2,""3"",""1"",""3"",""1"",""2"",""1"",""3"",""1"",""2"",""2"",""1"",""3"",""2"",""3"",""2"",""1"",""1"""
"2020/08/28 7:55:37 AM GMT+2,""2"",""1"",""2"",""2"",""2"",""2"",""1"",""2"",""2"",""2"",""2"",""2"",""2"",""2"",""4"",""2"",""2"""
"2020/08/28 8:38:12 AM GMT+2,""4"",""1"",""4"",""3"",""4"",""3"",""2"",""2"",""3"",""3"",""3"",""3"",""3"",""4"",""3"",""2"",""3"""
"2020/08/28 8:47:26 AM GMT+2,""4"",""1"",""4"",""3"",""4"",""3"",""2"",""2"",""3"",""3"",""3"",""3"",""3"",""4"",""3"",""2"",""3"""
"2020/08/28 9:51:58 AM GMT+2,""1"",""1"",""4"",""2"",""3"",""2"",""3"",""2"",""3"",""2"",""3"",""2"",""3"",""3"",""4"",""3"",""3"""
